,step,s,e,i,h,r,d,v
159,160,2730,620,510,0,0,1,6139
160,161,2730,620,510,0,0,1,6139
161,162,2730,620,510,0,0,1,6139
162,163,2730,620,510,0,0,1,6139
163,164,2730,620,510,0,0,1,6139
164,165,2730,620,510,0,0,1,6139
165,166,2730,620,510,0,0,1,6139
166,167,2730,620,510,0,0,1,6139
167,168,2579,640,508,0,0,3,6270
168,169,2579,640,508,0,0,3,6270
169,170,2579,640,508,0,0,3,6270
170,171,2579,640,508,0,0,3,6270
171,172,2579,640,508,0,0,3,6270
172,173,2579,640,508,0,0,3,6270
173,174,2579,640,508,0,0,3,6270
174,175,2579,640,508,0,0,3,6270
175,176,2579,640,508,0,0,3,6270
176,177,2579,640,508,0,0,3,6270
177,178,2579,640,508,0,0,3,6270
178,179,2579,640,508,0,0,3,6270
179,180,2463,644,508,0,0,6,6379
180,181,2463,644,508,0,0,6,6379
181,182,2463,644,508,0,0,6,6379
182,183,2463,644,508,0,0,6,6379
183,184,2463,644,508,0,0,6,6379
184,185,2463,644,508,0,0,6,6379
185,186,2463,644,508,0,0,6,6379
186,187,2463,644,508,0,0,6,6379
187,188,2463,644,508,0,0,6,6379
188,189,2463,644,508,0,0,6,6379
189,190,2463,644,508,0,0,6,6379
190,191,2463,644,508,0,0,6,6379
191,192,2334,652,507,0,0,8,6499
192,193,2334,652,507,0,0,8,6499
193,194,2334,652,507,0,0,8,6499
194,195,2334,652,507,0,0,8,6499
195,196,2334,652,507,0,0,8,6499
196,197,2334,652,507,0,0,8,6499
197,198,2334,652,507,0,0,8,6499
198,199,2334,652,507,0,0,8,6499
199,200,2334,652,507,0,0,8,6499
200,201,2334,652,507,0,0,8,6499
201,202,2334,652,507,0,0,8,6499
202,203,2334,652,507,0,0,8,6499
203,204,2230,655,507,0,0,9,6599
204,205,2230,655,507,0,0,9,6599
205,206,2230,655,507,0,0,9,6599
206,207,2230,655,507,0,0,9,6599
207,208,2230,655,507,0,0,9,6599
208,209,2230,655,507,0,0,9,6599
209,210,2230,655,507,0,0,9,6599
210,211,2230,655,507,0,0,9,6599
211,212,2230,655,507,0,0,9,6599
212,213,2230,655,507,0,0,9,6599
213,214,2230,655,507,0,0,9,6599
214,215,2230,655,507,0,0,9,6599
215,216,2139,658,508,0,0,10,6685
216,217,2139,658,508,0,0,10,6685
217,218,2139,658,508,0,0,10,6685
218,219,2139,658,508,0,0,10,6685
219,220,2139,658,508,0,0,10,6685
220,221,2139,658,508,0,0,10,6685
221,222,2139,658,508,0,0,10,6685
222,223,2139,658,508,0,0,10,6685
223,224,2139,658,508,0,0,10,6685
224,225,2139,658,508,0,0,10,6685
225,226,2139,658,508,0,0,10,6685
226,227,2139,658,508,0,0,10,6685
227,228,2038,660,507,0,0,12,6783
228,229,2038,660,507,0,0,12,6783
229,230,2038,660,507,0,0,12,6783
230,231,2038,660,507,0,0,12,6783
231,232,2038,660,507,0,0,12,6783
232,233,2038,660,507,0,0,12,6783
233,234,2038,660,507,0,0,12,6783
234,235,2038,660,507,0,0,12,6783
235,236,2038,660,507,0,0,12,6783
236,237,2038,660,507,0,0,12,6783
237,238,2038,660,507,0,0,12,6783
238,239,2038,660,507,0,0,12,6783
239,240,1935,665,506,0,0,15,6879
240,241,1935,665,506,0,0,15,6879
241,242,1935,665,506,0,0,15,6879
242,243,1935,665,506,0,0,15,6879
243,244,1935,665,506,0,0,15,6879
244,245,1935,665,506,0,0,15,6879
245,246,1935,665,506,0,0,15,6879
246,247,1935,665,506,0,0,15,6879
247,248,1935,665,506,0,0,15,6879
248,249,1935,665,506,0,0,15,6879
249,250,1935,665,506,0,0,15,6879
250,251,1935,665,506,0,0,15,6879
251,252,1836,675,501,0,0,20,6968
252,253,1836,675,501,0,0,20,6968
253,254,1836,675,501,0,0,20,6968
254,255,1836,675,501,0,0,20,6968
255,256,1836,675,501,0,0,20,6968
256,257,1836,675,501,0,0,20,6968
257,258,1836,675,501,0,0,20,6968
258,259,1836,675,501,0,0,20,6968
259,260,1836,675,501,0,0,20,6968
260,261,1836,675,501,0,0,20,6968
261,262,1836,675,501,0,0,20,6968
262,263,1836,675,501,0,0,20,6968
263,264,1730,677,495,0,0,26,7072
264,265,1730,677,495,0,0,26,7072
265,266,1730,677,495,0,0,26,7072
266,267,1730,677,495,0,0,26,7072
267,268,1730,677,495,0,0,26,7072
268,269,1730,677,495,0,0,26,7072
269,270,1730,677,495,0,0,26,7072
270,271,1730,677,495,0,0,26,7072
271,272,1730,677,495,0,0,26,7072
272,273,1730,677,495,0,0,26,7072
273,274,1730,677,495,0,0,26,7072
274,275,1730,677,495,0,0,26,7072
275,276,1654,680,491,0,0,30,7145
276,277,1654,680,491,0,0,30,7145
277,278,1654,680,491,0,0,30,7145
278,279,1654,680,491,0,0,30,7145
279,280,1654,680,491,0,0,30,7145
280,281,1654,680,491,0,0,30,7145
281,282,1654,680,491,0,0,30,7145
282,283,1654,680,491,0,0,30,7145
