,day,infection_rate,dead_rate
0,1.0,0.002123474226381078,1.0515152201594209e-06
1,2.0,0.0022191291583064723,6.887238204012323e-07
2,3.0,5.282845619034202e-17,1.0802074215975724e-06
3,4.0,0.0011832580252371968,2.779556837108439e-07
4,5.0,0.0008217760155746713,8.409409588996964e-07
5,6.0,0.0016414724171593962,5.665404978872958e-07
6,7.0,0.0014772069160266684,8.130152264345219e-07
7,8.0,0.0017692374214204624,3.632071271616644e-07
8,9.0,1.310964457121956e-17,7.105010790870671e-07
9,10.0,0.0008677430982936351,8.137734175425018e-07
10,11.0,6.0317719504252986e-18,1.3364264537736843e-06
11,12.0,0.0014968771452352051,9.725591490405144e-07
12,13.0,0.0013028967652203248,0.00196078431372549
13,14.0,0.0014953531225209097,0.003937007874015748
14,15.0,0.001928128838446206,0.005905511811023622
15,16.0,0.001436534523939256,0.0039447731755424065
16,17.0,0.0017021525427104959,0.0019723865877712033
17,18.0,0.0017512806359676661,0.001968503937007874
18,19.0,0.0016895605764584358,0.0039447731755424065
19,20.0,0.0008293174676023047,0.005928853754940711
20,21.0,2.631639762074445e-18,0.00998003992015968
21,22.0,6.559663365584382e-19,0.012121212121212121
22,23.0,0.0019004767987974235,0.008146639511201629
23,24.0,0.0014260587192583397,0.00819672131147541
24,25.0,0.0009330828462421082,0.006172839506172839
25,26.0,0.0016039956051670356,0.008298755186721992
26,27.0,0.00111907219607121,0.002074688796680498
27,28.0,0.0018255971604563945,0.00625
28,29.0,0.001011854796496694,0.01050420168067227
29,30.0,0.001450426007599017,0.012738853503184714
