,step,s,e,i,h,r,d,v
152,153,3863,0,777,709,240,108,4303
153,154,3863,0,777,709,240,108,4303
154,155,3863,0,777,709,240,108,4303
155,156,3863,0,562,712,317,243,4303
156,157,3863,0,562,712,317,243,4303
157,158,3863,0,562,712,317,243,4303
158,159,3863,0,562,712,317,243,4303
159,160,3863,0,562,712,317,243,4303
160,161,3863,0,562,712,317,243,4303
161,162,3863,0,562,712,317,243,4303
162,163,3863,0,562,712,317,243,4303
163,164,3863,0,562,712,317,243,4303
164,165,3863,0,562,712,317,243,4303
165,166,3863,0,562,712,317,243,4303
166,167,3863,0,562,712,317,243,4303
167,168,3863,0,384,704,369,377,4303
168,169,3863,0,384,704,369,377,4303
169,170,3863,0,384,704,369,377,4303
170,171,3863,0,384,704,369,377,4303
171,172,3863,0,384,704,369,377,4303
172,173,3863,0,384,704,369,377,4303
173,174,3863,0,384,704,369,377,4303
174,175,3863,0,384,704,369,377,4303
175,176,3863,0,384,704,369,377,4303
176,177,3863,0,384,704,369,377,4303
177,178,3863,0,384,704,369,377,4303
178,179,3863,0,384,704,369,377,4303
179,180,3863,0,231,672,429,502,4303
180,181,3863,0,231,672,429,502,4303
181,182,3863,0,231,672,429,502,4303
182,183,3863,0,231,672,429,502,4303
183,184,3863,0,231,672,429,502,4303
184,185,3863,0,231,672,429,502,4303
185,186,3863,0,231,672,429,502,4303
186,187,3863,0,231,672,429,502,4303
187,188,3863,0,231,672,429,502,4303
188,189,3863,0,231,672,429,502,4303
189,190,3863,0,231,672,429,502,4303
190,191,3863,0,231,672,429,502,4303
191,192,3863,0,94,650,480,610,4303
192,193,3863,0,94,650,480,610,4303
193,194,3863,0,94,650,480,610,4303
194,195,3863,0,94,650,480,610,4303
195,196,3863,0,94,650,480,610,4303
196,197,3863,0,94,650,480,610,4303
197,198,3863,0,94,650,480,610,4303
198,199,3863,0,94,650,480,610,4303
199,200,3863,0,94,650,480,610,4303
200,201,3863,0,94,650,480,610,4303
201,202,3863,0,94,650,480,610,4303
202,203,3863,0,94,650,480,610,4303
203,204,3863,0,12,562,574,686,4303
204,205,3863,0,12,562,574,686,4303
205,206,3863,0,12,562,574,686,4303
206,207,3863,0,12,562,574,686,4303
207,208,3863,0,12,562,574,686,4303
208,209,3863,0,12,562,574,686,4303
209,210,3863,0,12,562,574,686,4303
210,211,3863,0,12,562,574,686,4303
211,212,3863,0,12,562,574,686,4303
212,213,3863,0,12,562,574,686,4303
213,214,3863,0,12,562,574,686,4303
214,215,3863,0,12,562,574,686,4303
215,216,3863,0,0,0,1147,687,4303
