,step,s,e,i,h,r,d,v
146,147,7231,39,101,71,720,1099,739
147,148,7231,39,91,70,720,1110,739
148,149,7231,39,77,69,720,1125,739
149,150,7231,39,68,65,720,1138,739
150,151,7231,39,61,63,720,1147,739
151,152,7231,39,53,63,720,1155,739
152,153,7231,39,49,62,720,1160,739
153,154,7231,39,46,61,720,1164,739
154,155,7231,39,42,32,747,1170,739
155,156,7231,38,37,30,747,1178,739
156,157,7231,38,17,29,747,1199,739
157,158,7231,38,16,30,747,1199,739
158,159,7231,38,16,30,747,1199,739
159,160,7231,38,15,30,747,1200,739
160,161,7231,38,15,29,747,1201,739
161,162,7231,38,15,29,747,1201,739
162,163,7231,38,15,29,747,1201,739
163,164,7231,38,15,29,747,1201,739
164,165,7231,38,15,29,747,1201,739
165,166,7231,38,15,29,747,1201,739
166,167,7231,38,15,25,751,1201,739
167,168,7231,37,8,20,755,1210,739
168,169,7231,37,8,19,756,1210,739
169,170,7231,37,8,19,756,1210,739
170,171,7231,37,8,18,757,1210,739
171,172,7231,37,8,18,757,1210,739
172,173,7231,37,8,16,759,1210,739
173,174,7231,37,8,16,759,1210,739
174,175,7231,37,8,16,759,1210,739
175,176,7231,37,8,16,759,1210,739
176,177,7231,37,8,16,759,1210,739
177,178,7231,37,8,16,759,1210,739
178,179,7231,37,8,12,763,1210,739
179,180,7231,32,11,12,763,1212,739
180,181,7231,32,10,11,765,1212,739
181,182,7231,32,10,11,765,1212,739
182,183,7231,32,8,13,765,1212,739
183,184,7231,32,7,14,765,1212,739
184,185,7231,32,6,15,765,1212,739
185,186,7231,32,6,15,765,1212,739
186,187,7231,32,6,15,765,1212,739
187,188,7231,32,6,15,765,1212,739
188,189,7231,32,6,15,765,1212,739
189,190,7231,32,6,15,765,1212,739
190,191,7231,32,6,13,767,1212,739
191,192,7231,24,14,11,768,1213,739
192,193,7231,24,13,12,768,1213,739
193,194,7231,24,13,12,768,1213,739
194,195,7231,24,13,12,768,1213,739
195,196,7231,24,13,12,768,1213,739
196,197,7231,24,10,14,768,1214,739
197,198,7231,24,10,14,768,1214,739
198,199,7231,24,10,14,768,1214,739
199,200,7231,24,10,14,768,1214,739
200,201,7231,24,10,14,768,1214,739
201,202,7231,24,8,14,768,1216,739
202,203,7231,24,8,13,769,1216,739
203,204,7229,7,27,12,769,1217,739
204,205,7229,7,26,13,769,1217,739
205,206,7229,7,22,16,769,1218,739
206,207,7229,7,21,17,769,1218,739
207,208,7229,7,19,18,769,1219,739
208,209,7229,7,18,19,769,1219,739
209,210,7229,7,15,22,769,1219,739
210,211,7229,7,14,23,769,1219,739
211,212,7229,7,14,23,769,1219,739
212,213,7229,7,14,23,769,1219,739
213,214,7229,7,14,23,769,1219,739
214,215,7229,7,14,23,769,1219,739
215,216,7221,10,19,22,770,1219,739
216,217,7221,10,18,22,771,1219,739
217,218,7221,10,17,23,771,1219,739
218,219,7221,10,17,23,771,1219,739
219,220,7221,10,17,22,771,1220,739
220,221,7221,10,14,25,771,1220,739
221,222,7221,10,14,25,771,1220,739
222,223,7221,10,14,25,771,1220,739
223,224,7221,10,13,26,771,1220,739
224,225,7221,10,13,26,771,1220,739
225,226,7221,10,12,27,771,1220,739
226,227,7221,10,12,25,772,1221,739
227,228,7219,12,12,25,772,1221,739
228,229,7219,12,12,25,772,1221,739
229,230,7219,12,12,24,772,1222,739
230,231,7219,12,12,24,772,1222,739
231,232,7219,12,12,24,772,1222,739
232,233,7219,12,12,24,772,1222,739
233,234,7219,12,12,24,772,1222,739
234,235,7219,12,12,24,772,1222,739
235,236,7219,12,12,24,772,1222,739
236,237,7219,12,12,24,772,1222,739
237,238,7219,12,12,24,772,1222,739
238,239,7219,12,12,22,773,1223,739
239,240,7218,13,12,22,773,1223,739
240,241,7218,13,11,21,773,1225,739
241,242,7218,13,10,18,773,1229,739
242,243,7218,13,10,17,773,1230,739
243,244,7218,13,10,17,773,1230,739
244,245,7218,13,10,16,773,1231,739
245,246,7218,13,10,16,773,1231,739
246,247,7218,13,10,16,773,1231,739
247,248,7218,13,10,14,773,1233,739
248,249,7218,13,10,14,773,1233,739
249,250,7218,13,10,14,773,1233,739
250,251,7218,13,10,13,773,1234,739
251,252,7218,11,12,13,773,1234,739
252,253,7218,11,9,14,773,1236,739
253,254,7218,11,9,14,773,1236,739
254,255,7218,11,9,14,773,1236,739
255,256,7218,11,9,14,773,1236,739
256,257,7218,11,9,13,773,1237,739
257,258,7218,11,9,13,773,1237,739
258,259,7218,11,9,13,773,1237,739
259,260,7218,11,9,13,773,1237,739
260,261,7218,11,9,13,773,1237,739
261,262,7218,11,9,13,773,1237,739
262,263,7218,11,9,11,774,1238,739
263,264,7218,9,11,10,775,1238,739
264,265,7218,9,11,10,775,1238,739
265,266,7218,9,11,9,776,1238,739
266,267,7218,9,10,10,776,1238,739
267,268,7218,9,9,11,776,1238,739
268,269,7218,9,9,11,776,1238,739
269,270,7218,9,9,11,776,1238,739
270,271,7218,9,9,11,776,1238,739
271,272,7218,9,9,11,776,1238,739
272,273,7218,9,9,11,776,1238,739
273,274,7218,9,9,11,776,1238,739
274,275,7218,9,9,11,776,1238,739
275,276,7217,5,12,11,776,1240,739
276,277,7217,5,11,9,777,1242,739
277,278,7217,5,10,10,777,1242,739
278,279,7217,5,9,11,777,1242,739
279,280,7217,5,9,11,777,1242,739
280,281,7217,5,8,11,777,1243,739
281,282,7217,5,8,11,777,1243,739
282,283,7217,5,7,12,777,1243,739
283,284,7217,5,5,13,777,1244,739
284,285,7217,5,5,13,777,1244,739
285,286,7217,5,4,14,777,1244,739
286,287,7217,5,4,11,780,1244,739
287,288,7216,2,8,11,780,1244,739
288,289,7216,2,7,10,780,1246,739
289,290,7216,2,7,10,780,1246,739
290,291,7216,2,7,10,780,1246,739
291,292,7216,2,7,10,780,1246,739
292,293,7216,2,6,11,780,1246,739
293,294,7216,2,6,11,780,1246,739
294,295,7216,2,4,12,780,1247,739
295,296,7216,2,3,12,780,1248,739
296,297,7216,2,3,12,780,1248,739
297,298,7216,2,3,12,780,1248,739
298,299,7216,2,3,11,781,1248,739
299,300,7216,2,3,10,782,1248,739
300,301,7216,2,3,9,782,1249,739
301,302,7216,2,3,8,783,1249,739
302,303,7216,2,3,8,783,1249,739
303,304,7216,2,3,8,783,1249,739
304,305,7216,2,3,8,783,1249,739
305,306,7216,2,3,7,783,1250,739
306,307,7216,2,3,7,783,1250,739
307,308,7216,2,3,7,783,1250,739
308,309,7216,2,3,7,783,1250,739
309,310,7216,2,3,7,783,1250,739
310,311,7216,2,3,6,783,1251,739
311,312,7215,3,3,6,783,1251,739
312,313,7215,3,3,6,783,1251,739
313,314,7215,3,3,5,783,1252,739
314,315,7215,3,3,5,783,1252,739
315,316,7215,3,3,5,783,1252,739
316,317,7215,3,3,5,783,1252,739
317,318,7215,3,3,5,783,1252,739
318,319,7215,3,3,5,783,1252,739
319,320,7215,3,3,5,783,1252,739
320,321,7215,3,3,5,783,1252,739
321,322,7215,3,3,5,783,1252,739
322,323,7215,3,3,5,783,1252,739
323,324,7215,2,4,5,783,1252,739
324,325,7215,2,3,6,783,1252,739
325,326,7215,2,3,6,783,1252,739
326,327,7215,2,3,6,783,1252,739
327,328,7215,2,3,6,783,1252,739
328,329,7215,2,3,6,783,1252,739
329,330,7215,2,3,6,783,1252,739
330,331,7215,2,3,6,783,1252,739
331,332,7215,2,3,6,783,1252,739
332,333,7215,2,3,6,783,1252,739
333,334,7215,2,3,6,783,1252,739
334,335,7215,2,3,6,783,1252,739
335,336,7215,2,3,6,783,1252,739
336,337,7215,2,3,6,783,1252,739
337,338,7215,2,3,6,783,1252,739
338,339,7215,2,3,6,783,1252,739
339,340,7215,2,3,6,783,1252,739
340,341,7215,2,3,6,783,1252,739
341,342,7215,2,3,6,783,1252,739
342,343,7215,2,2,6,783,1253,739
343,344,7215,2,2,6,783,1253,739
344,345,7215,2,2,6,783,1253,739
345,346,7215,2,2,5,783,1254,739
346,347,7215,2,2,5,783,1254,739
347,348,7210,6,3,5,783,1254,739
348,349,7210,6,3,5,783,1254,739
349,350,7210,6,3,5,783,1254,739
350,351,7210,6,2,6,783,1254,739
351,352,7210,6,2,6,783,1254,739
352,353,7210,6,2,6,783,1254,739
353,354,7210,6,2,6,783,1254,739
354,355,7210,6,2,6,783,1254,739
355,356,7210,6,2,6,783,1254,739
356,357,7210,6,2,6,783,1254,739
357,358,7210,6,2,6,783,1254,739
358,359,7210,6,2,3,786,1254,739
359,360,7208,7,3,3,786,1254,739
